lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
papir	NN	1980	1980-1990	1980-1990_papir_267		Ut over det som er nevnt foran, spesielt det forhold at forliksklagen skal avfattes som prosesskrift, stilles det ingen spesielle krav til den form f orUksklagen skal ha — muligens bortsett fra et rundskriv av 12. juU 1928 pkt. II om papirets format. I praksis er det imidlertid som kjent meget vanlig å benytte trykte skjemaer når forliksklage utferdiges.	234:242	0:356
papir	NN	2012	2012-2019	2012-2019_papir_10033		Han er 211 centimeter høy, 19 år gammel og ranket som nummer 204 i verden. Dermed blir det på papiret en jevn kamp mot en servekjempe fra USA for 226.-plasserte Ruud.	94:101	0:166
papir	NN	2012	2012-2019	2012-2019_papir_3548		Aftenposten og Hjemmet størst på papir FOTO: Scanpix	33:38	0:52
papir	NN	2012	2012-2019	2012-2019_papir_9076		Han mener det ikke nytter å si at unge minoriteter står bak vold, fordi de ikke har hatt de samme mulighetene til å lykkes. Fakta: Hva er et Si ;D-innlegg? – Si ;D er Aftenpostens debattsider for ungdom mellom 13 og 21 år – Vi publiserer cirka 20 innlegg i uken både på papir og nett – Målet er å løfte frem unge stemmer i samfunnsdebatten – Har du noe på hjertet?	270:275	0:364
papir	NN	2012	2012-2019	2012-2019_papir_11156		Jeg leser Aftenposten på papir og ser litt på frokost-TV mens jeg drikker kaffe sammen med mannen min. Etterpå går jeg opp til kontoret mitt. Det tar bare fire minutter. Janne Møller-Hansen	25:30	0:189
papir	NN	2012	2012-2019	2012-2019_papir_4288		Flyveblader produserte jeg ved hjelp av papir jeg stjal fra en kopibutikk, og under konsertene satt jeg i døren og tok mot donasjoner til bandet, samtidig som jeg tok opp opptredenene på en firespors opptager.	40:45	0:209
papir	NN	2012	2012-2019	2012-2019_papir_11713		Skjeggkreene spiser helst døde insekter og annen proteinrik mat, men kan også gnage på papir.	87:92	0:93
papir	NN	2012	2012-2019	2012-2019_papir_4752		- Dette er et stort øyeblikk for klubben, sa Arsenal-manager Arsene Wenger etter at penn hadde møtt papir i London.	100:105	0:115
papir	NN	2012	2012-2019	2012-2019_papir_10365		Spår avisdød i Tyrkia Mange aviser kan komme til å gå dukken dersom ikke tyrkiske myndigheter gir dem en hjelpende hånd, ifølge de tyrkiske journalistenes fagforeninger. – Mange aviser kommer til å forsvinner dersom ikke myndighetene fjerner skatten på avisene, meldte journalistenes fagforening i en uttalelse mandag ifølge dokuz8, et uavhengig nyhetsnettsted. Journalistenes fagforening skriver at etter at den nasjonale papirfabrikken SEKA ble privatisert, så har prisen på papir blitt tre ganger så høy.	477:482	0:507
papir	NN	2012	2012-2019	2012-2019_papir_2764		Dersom de aksepterer deltakelsen i prosjektet, sender politiet papirene over til oss.	63:71	0:85
papir	NN	2012	2012-2019	2012-2019_papir_3965		En rekke lokalaviser går mot strømmen og øker lesertallene på papir.	62:67	0:68
papir	NN	2012	2012-2019	2012-2019_papir_7437		- På papiret er det mulig; indiske myndigheter må jobbe for å fjerne byråkrati og gjennomføre prosjekter raskt.	5:12	0:111
