lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
mening	NN	1929	1929-1965	1929-1965_mening_4458		Derfor er utvalget av den mening at det foreligger et klart behov for en lukket avdeling i alkoholistomsorgen.	26:32	0:110
mening	NN	1970	1970-2015	1970-2015_mening_13763		Det er flertallets mening at en integrering av teknologi, realfag, samfunnsfag, filologi, arkitektur, estetiske fag, filosofi og medisin vil kunne gi impulser til å fremme den vitenskapelige utvikling i grenseområdene mellom etablerte fagområder og til å gi nye arbeidsoppgåver for de innarbeidede fagene ved universitetet. impulser skal finne sted, er det viktig å strukturere universitetet slik at det blir best mulig kontakter mellom fagmiljøene.	19:25	0:449
mening	NN	1970	1970-2015	1970-2015_mening_10568		Endringer av garantibeløpet bør det etter Utvalgets mening imidlertid bare bli snakk om ved vesentlige endringer av de forutsetninger bevillingen er gitt etter. Den alminnelige prisstigning vil også gi anledning til forholdsmessige justeringer.	52:58	0:244
mening	NN	1970	1970-2015	1970-2015_mening_11299		Dersom man da finner en beskrivelse som «gammelt bord», kan dette ha en viss mening i forhold til de andre bordene. Huskeliste: i. Få oversikt over magasinene oggjenstandene.	77:83	0:174
mening	NN	1970	1970-2015	1970-2015_mening_6773		Etter kommisjonens mening er derfor en bredere og mer helhetlig tiln??rmingsm??te p??krevet.	19:25	0:92
mening	NN	1970	1970-2015	1970-2015_mening_15778		Lovhjemmelen og ansvaret for samordning av arbeidet for funksjonshemmede bør etter Hovedkomitéens mening overføres fra Kirke- og undervisningsdepartementet til Sosialdepartementet.	98:104	0:180
mening	NN	1970	1970-2015	1970-2015_mening_15060		Også når det gjelder den geografiske plassering av den nye institusjonen var det delte meninger i Stortinget.	87:95	0:109
mening	NN	1970	1970-2015	1970-2015_mening_4055		Her er det viktigere å understreke at uansett hvilken mening man måtte ha om årsaksforhold i samfunnsutviklingen, kan fasene ikke oppfattes separat.	54:60	0:148
mening	NN	1970	1970-2015	1970-2015_mening_18472		Vet ikke, ingen mening (LESES IKKE) Norge har til nå konsentrert hjelpen til noen få utviklingsland.	16:22	0:100
mening	NN	1970	1970-2015	1970-2015_mening_681		Etter utvalgets mening skyldes disse vanskene mer utformingen og redigeringen av den enkelte lov. Dessuten er det behov for en samlet publikasjon som omfatter de viktigste lover av betydning for forholdet mellom barn og foreldre, kanskje også sammen med andre lover som angår barn. En slik felles publikasjon kan man lett få i stand selv om reglene ikke er samlet i én lov. Utvalget har gått gjennom de lover som ble nevnt av Justiskomitéen i 1956, men er kommet til at det ikke passer å ta noen av dem med i utkastet til en lov om barn og foreldre.	16:22	0:549
mening	NN	1970	1970-2015	1970-2015_mening_14128		Etter departementets mening vil det vaere hensiktsmessig at en i denne sammenheng også utarbeider et nytt forslag til støygrenser for skytebanestøy i omgivelsene.	21:27	0:162
mening	NN	1970	1970-2015	1970-2015_mening_9596		Dette forutsetter etter utvalgets mening at regionene blir større enn nå. Regionnivået er bl. a. diskutert både av Christiansenutvalget og Wilhelmsen-utvalget.	34:40	0:159
