lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
virus	NN	2012	2012-2019	2012-2019_virus_2459		Forskningen viser også at klimaendringene vil forverre tilstanden til allergiske sykdommer som astma og høysnue. Flere mennesker vil trolig bli eksponert for sykdomsbaerende insekter da det geografiske området til disse insektene vil utvides. Mygg som sprer virus som Zika og flått som baerer borreliose vil dermed kunne ramme flere.	257:262	0:331	15552	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_30		I stedet for å bli ødeagt av kroppens forsvarsceller, går det inn i cellene og formerer seg. Etter hvert blir det flere og flere virus og faerre og faerre forsvarsceller i kroppen.	129:134	0:178	15539	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_1637		– For min egen del har jeg ingen betenkeligheter med å dobbeldippe eller spise av samme dipp som andre som dobbeldipper, forutsatt at de er friske, sier han. Dippen som ble brukt i eksperimentet ble ikke testet for virus i ettertid, og resultatene sa dermed ikke noe om sjansene for å bli smittet av sykdommer. – Dette med dobbeldipping er et morsomt fenomen som har vaert mye diskutert på Kims Facebook-sider, sier senior kommunikasjonsrådgiver Marthe H. Bogerud Schomacker (36) i Orkla Confectionery & Snacks Norge. – Forbrukerne har mange og sterke meninger om temaet.	215:220	0:570	15543	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_1710		Det høres kanskje skremmende ut frivillig å utsette seg selv for virus, men dette er virus som ikke er i stand til å infisere våre celler.	65:70	0:138	15551	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_1955		NB! Nytt Facebook-virus sprer seg VIRUS-ALARM: Pass på for hva du åpner på Facebook i disse dager; et nytt virus har den siste tiden herjet i hele Skandinavia. Foto: Stian Lysberg Solum, NTB scanpix	18:23	0:198	15541	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_0		Menneskets vekst og utvikling fra spedbarn til voksen, fysisk og mentalt. Sykdommer og medisiner: Vanlige sykdommer og de viktigste årsaker og mekanismer. Bakterier og virus.	168:173	0:174	15558	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_26		Hva er AIDS? AIDS er en alvorlig, smittsom sykdom som skyldes at kroppens forsvar mot infeksjoner (immunforsvaret) er blitt ødelagt av et virus.	138:143	0:144	15554	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_3		Diskusjonen har vaert preget av den maktesløshet man følte fordi de tradisjonelt mest effektive virkemidler til å forebygge og bekjempe en smittsom sykdom ikke forelå. Ingen kjente legemidler var virksomme overfor det virus som er årsak til HIV-infeksjonen.	217:222	0:256	15545	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_1045		Foreldre må heller ikke nøle med å dra tilbake til legen hvis tilstanden forverres, råder helsesøsteren. Beskyttet i tre-fire år Barn som få vaksinen er beskyttet i minst tre-fire år. Vaksinen beskytter bare mot rotavirus og ikke mot andre virus eller bakterier som kan føre til oppkast eller diaré. Rotavirus er veldig smittsomt.	216:221	0:330	15559	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_756		Først nå under NM har han prestert to gode konkurranser på rad. FOTO: AFP/Dirk Waem. DET er lett å ha medfølelse med Thor Hushovd når han enda en sesong famler etter formen. Med virus i kroppen var han sjanseløs til å starte i Tour de France og OL i fjor.	178:183	0:255	15553	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_11		De aller fleste er Helsepolitikken mot år 2000 selvhelbredende og forårsaket av virus (forkjølelse, influensa etc).	80:85	0:115	15547	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_687		Jeg var svimmel og utilpass og lurte på om jeg kunne ha fått et virus på balansenerven.	64:69	0:87	15557	nor_dia_change_subset2	no	andrey
