lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_graded	k1	n1	k2	n2	note
lyng	1929-1965_1970-2015	22	11	11	[13, 8, 1]	[8, 3, 0]	[5, 5, 1]	[0.591, 0.364, 0.045]	[0.727, 0.273, 0.0]	[0.455, 0.455, 0.091]	0	0.29142690610191013	1	3	1	3
mål	1929-1965_1970-2015	22	11	11	[11, 5, 3, 1, 1, 1]	[3, 2, 3, 1, 1, 1]	[8, 3, 0, 0, 0, 0]	[0.5, 0.227, 0.136, 0.045, 0.045, 0.045]	[0.273, 0.182, 0.273, 0.091, 0.091, 0.091]	[0.727, 0.273, 0.0, 0.0, 0.0, 0.0]	1	0.597205108852891	1	3	1	3
mening	1929-1965_1970-2015	21	10	11	[17, 4]	[7, 3]	[10, 1]	[0.81, 0.19]	[0.7, 0.3]	[0.909, 0.091]	1	0.22880025709022547	1	3	1	3	???
operasjon	1929-1965_1970-2015	22	11	11	[14, 8]	[7, 4]	[7, 4]	[0.636, 0.364]	[0.636, 0.364]	[0.636, 0.364]	0	0.0	1	3	1	3
ørret	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
pære	1929-1965_1970-2015	16	6	10	[11, 4, 1]	[2, 3, 1]	[9, 1, 0]	[0.688, 0.25, 0.062]	[0.333, 0.5, 0.167]	[0.9, 0.1, 0.0]	1	0.5346504370356665	1	3	1	3
plattform	1929-1965_1970-2015	21	10	11	[11, 5, 4, 1]	[1, 5, 4, 0]	[10, 0, 0, 1]	[0.524, 0.238, 0.19, 0.048]	[0.1, 0.5, 0.4, 0.0]	[0.909, 0.0, 0.0, 0.091]	1	0.8745367750924979	1	3	1	3
rad	1929-1965_1970-2015	17	9	8	[15, 1, 1]	[8, 1, 0]	[7, 0, 1]	[0.882, 0.059, 0.059]	[0.889, 0.111, 0.0]	[0.875, 0.0, 0.125]	0	0.34364953037245094	1	3	1	3
rev	1929-1965_1970-2015	22	11	11	[13, 4, 4, 1]	[6, 1, 3, 1]	[7, 3, 1, 0]	[0.591, 0.182, 0.182, 0.045]	[0.545, 0.091, 0.273, 0.091]	[0.636, 0.273, 0.091, 0.0]	1	0.34147528376036673	1	3	1	3
ris	1929-1965_1970-2015	20	10	10	[10, 6, 2, 2]	[5, 2, 2, 1]	[5, 4, 0, 1]	[0.5, 0.3, 0.1, 0.1]	[0.5, 0.2, 0.2, 0.1]	[0.5, 0.4, 0.0, 0.1]	0	0.3528615164390318	1	3	1	3
sete	1929-1965_1970-2015	21	10	11	[11, 5, 3, 1, 1]	[5, 2, 1, 1, 1]	[6, 3, 2, 0, 0]	[0.524, 0.238, 0.143, 0.048, 0.048]	[0.5, 0.2, 0.1, 0.1, 0.1]	[0.545, 0.273, 0.182, 0.0, 0.0]	0	0.33683308745827273	1	3	1	3
skjerm	1929-1965_1970-2015	21	11	10	[8, 5, 4, 2, 2]	[2, 5, 2, 2, 0]	[6, 0, 2, 0, 2]	[0.381, 0.238, 0.19, 0.095, 0.095]	[0.182, 0.455, 0.182, 0.182, 0.0]	[0.6, 0.0, 0.2, 0.0, 0.2]	1	0.7096046614523681	1	3	1	3
stoff	1929-1965_1970-2015	21	10	11	[10, 9, 2]	[5, 3, 2]	[5, 6, 0]	[0.476, 0.429, 0.095]	[0.5, 0.3, 0.2]	[0.455, 0.545, 0.0]	0	0.35616956265713706	1	3	1	3
tro	1929-1965_1970-2015	20	10	10	[18, 1, 1]	[9, 0, 1]	[9, 1, 0]	[0.9, 0.05, 0.05]	[0.9, 0.0, 0.1]	[0.9, 0.1, 0.0]	0	0.31622776601683794	1	3	1	3
tropp	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
varsel	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
